COLEGIO;MES;MES_GASTO;ORIGEN;CODIGO;ESTABLECIMIENTO;RBD;SUBVENCION;CODIGO_CUENTA;TIPO_DOCUMENTO;NUMERO_FACTURA;FECHA_DOCUMENTO;FECHA_PAGO;DESCRIPCION_GASTO;RUT_PROVEEDOR;NOMBRE_PROVEEDOR;MONTO_GASTO;MONTO_DOCUMENTO;MONTO_TOTAL;DOCUMENTO_ORIGINAL;CLAVE_CRUCE
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEX;1187912.0;2025-02-03;2025-02-03;SEGURO INCENDIO;96508210-7;MAPFRE COMPAÑIA DE SEGUROS  GENERALES  DE CHILE  S.A.;964258.0;964258.0;964258.0;SI;96508210-7|1187912|964258.0
PULLINQUE;2.0;2.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEX;1191285.0;2025-02-28;2025-02-28;SEGURO EDIFICIOS;96508210-7;MAPFRE COMPAÑIA DE SEGUROS  GENERALES  DE CHILE  S.A.;963137.0;963137.0;963137.0;SI;96508210-7|1191285|963137.0
PULLINQUE;4.0;3.0;CONTROL_MANUAL;;MEDIA;16844.0;MATRIZ;;FACEX;437.0;2025-03-12;2025-04-11;CAP REL TRABUN;65120259-0;FUNDACION TRABUN;800000.0;800000.0;800000.0;SI;65120259-0|437|800000.0
PULLINQUE;3.0;3.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEX;1193028.0;2025-03-13;2025-03-13;SEGURO EDIFICOS;96508210-7;MAPFRE COMPAÑIA DE SEGUROS  GENERALES  DE CHILE  S.A.;972354.0;972354.0;972354.0;SI;96508210-7|1193028|972354.0
PULLINQUE;5.0;3.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEX;5302.0;2025-03-18;2025-05-02;CURSO HERRAMIENTAS DE MODELACION BASICA;76653480-5;CDC ACADEMIA LIMITADA;358400.0;358400.0;358400.0;SI;76653480-5|5302|358400.0
PULLINQUE;5.0;3.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEX;520.0;2025-03-31;2025-05-19;TRASLADO DE ALUMNOS;14080369-3;RODRIGO ALEX FERNANDEZ BURGOS;4510000.0;4510000.0;4510000.0;SI;14080369-3|520|4510000.0
PULLINQUE;5.0;3.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEX;2844.0;2025-03-31;2025-05-29;SERVICIO DE TRASLADO DE ALUMNOS.;76346918-2;SOC. DE TRANSPORTES CORDILLERA TOUR SL LTDA;4850000.0;4850000.0;4850000.0;SI;76346918-2|2844|4850000.0
PULLINQUE;5.0;4.0;CONTROL_MANUAL;10901.0;MEDIA;16844.0;PIE;;FACEX;41.0;2025-04-15;2025-05-07;ATENCION DE 11 ALUMNOS DE PIE LICEO PULLINQUE.;77859739-K;HEALTHLINK CONSULTORES SPA;660000.0;660000.0;660000.0;SI;77859739-K|41|660000.0
PULLINQUE;5.0;4.0;CONTROL_MANUAL;;MEDIA;16844.0;PRORETENCION;;FACEX;2858.0;2025-04-30;2025-05-07;SERVICIO TRASLADOS;76346918-2;SOC. DE TRANSPORTES CORDILLERA TOUR SL LTDA;4020000.0;4020000.0;4020000.0;SI;76346918-2|2858|4020000.0
PULLINQUE;6.0;4.0;CONTROL_MANUAL;;MEDIA;16844.0;PRORETENCION;;FACEX;521.0;2025-04-30;2025-06-19;TRASLADO DE ALUMNOS;14080369-3;RODRIGO ALEX FERNANDEZ BURGOS;3510000.0;3510000.0;3510000.0;SI;14080369-3|521|3510000.0
PULLINQUE;5.0;5.0;CONTROL_MANUAL;;MEDIA;16844.0;PRORETENCION;;FACEX;2860.0;2025-05-07;2025-05-12;SERVICIOS TRASLADOS;76346918-2;SOC. DE TRANSPORTES CORDILLERA TOUR SL LTDA;4590000.0;4590000.0;4590000.0;SI;76346918-2|2860|4590000.0
PULLINQUE;5.0;5.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEX;1201110.0;2025-05-08;2025-05-08;POLIZA SEGURO INCENDIO;96508210-7;MAPFRE COMPAÑIA DE SEGUROS  GENERALES  DE CHILE  S.A.;907323.0;907323.0;907323.0;SI;96508210-7|1201110|907323.0
PULLINQUE;3.0;12.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;428939.0;2024-12-31;2025-03-04;COMBUSTIBLE VEHICULO;79500470-K;ACEVEDO Y COMPAÑIA LIMITADA;236549.0;236549.0;236549.0;SI;79500470-K|428939|236549.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;40203.0;MEDIA;16844.0;SEP;;FACEL;27852.0;2025-01-02;2025-03-20;ASESORIA EDUFACIL;96928810-9;COLEGIUM SPA;548626.0;548626.0;548626.0;SI;96928810-9|27852|548626.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;40206.0;MEDIA;16844.0;SEP;;FACEL;13481101.0;2025-01-04;2025-03-20;SERVICIOS DE TELEFONIA BANDA ANCHA FIJA Y OTROS;90299000-3;TELEFONICA DEL SUR  S.A.;1464382.0;1464382.0;1464382.0;SI;90299000-3|13481101|1464382.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;40202.0;MEDIA;16844.0;SEP;;FACEL;27968.0;2025-01-06;2025-03-20;SET TECLADOS, SET PENDRIVE;5556734-4;LUIS RENATO CIFUENTES CISTERNA;118100.0;118100.0;118100.0;SI;5556734-4|27968|118100.0
PULLINQUE;3.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;GENERAL;;FACEL;393162.0;2025-01-07;2025-03-20;PUBLICIDAD;87778800-8;SOCIEDAD PERIODISTICA ARAUCANIA S.A.;441141.0;441141.0;441141.0;SI;87778800-8|393162|441141.0
PULLINQUE;1.0;1.0;CONTROL_MANUAL;;MEDIA;16844.0;MANTENCION;;FACEL;251065.0;2025-01-07;2025-01-10;CARPA NARANJA;76452633-3;FERRETERIA JARAMILLO LTDA;28120.0;28120.0;28120.0;SI;76452633-3|251065|28120.0
